,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.647,0.823,2,-4.074,1,0.0478,0.0387,0.0,0.74,0.309,150.995,audio_features,4s7TIubkdsgdtDEDFEAYVL,spotify:track:4s7TIubkdsgdtDEDFEAYVL,https://api.spotify.com/v1/tracks/4s7TIubkdsgdtDEDFEAYVL,https://api.spotify.com/v1/audio-analysis/4s7TIubkdsgdtDEDFEAYVL,174805,4
1,0.598,0.664,2,-5.086,1,0.426,0.011,0.0,0.539,0.315,149.17,audio_features,67lvhLT01Fq3GEIrt5RpPn,spotify:track:67lvhLT01Fq3GEIrt5RpPn,https://api.spotify.com/v1/tracks/67lvhLT01Fq3GEIrt5RpPn,https://api.spotify.com/v1/audio-analysis/67lvhLT01Fq3GEIrt5RpPn,198591,4
2,0.571,0.525,6,-7.785,0,0.343,0.161,0.0,0.164,0.306,119.205,audio_features,1cHFHTOMDb3zHcDwumFSCw,spotify:track:1cHFHTOMDb3zHcDwumFSCw,https://api.spotify.com/v1/tracks/1cHFHTOMDb3zHcDwumFSCw,https://api.spotify.com/v1/audio-analysis/1cHFHTOMDb3zHcDwumFSCw,141573,5
3,0.681,0.63,1,-5.585,1,0.0385,0.00383,0.0,0.139,0.183,151.951,audio_features,3T9BKc4kB7ukeNQrCqv6ZV,spotify:track:3T9BKc4kB7ukeNQrCqv6ZV,https://api.spotify.com/v1/tracks/3T9BKc4kB7ukeNQrCqv6ZV,https://api.spotify.com/v1/audio-analysis/3T9BKc4kB7ukeNQrCqv6ZV,161053,4
4,0.52,0.552,6,-7.178,0,0.489,0.211,0.0,0.139,0.554,172.306,audio_features,7eDkIDGKVe5B5RmTiEPiXJ,spotify:track:7eDkIDGKVe5B5RmTiEPiXJ,https://api.spotify.com/v1/tracks/7eDkIDGKVe5B5RmTiEPiXJ,https://api.spotify.com/v1/audio-analysis/7eDkIDGKVe5B5RmTiEPiXJ,213749,4
5,0.462,0.615,1,-6.429,1,0.215,0.23,0.0,0.0928,0.307,90.068,audio_features,4YFPUYwA9Jmk9xQYCbz3zb,spotify:track:4YFPUYwA9Jmk9xQYCbz3zb,https://api.spotify.com/v1/tracks/4YFPUYwA9Jmk9xQYCbz3zb,https://api.spotify.com/v1/audio-analysis/4YFPUYwA9Jmk9xQYCbz3zb,182251,4
6,0.893,0.638,8,-7.959,1,0.32,0.0852,0.0,0.139,0.584,79.944,audio_features,4IfJuDOnqRfVVnzsDaqPeL,spotify:track:4IfJuDOnqRfVVnzsDaqPeL,https://api.spotify.com/v1/tracks/4IfJuDOnqRfVVnzsDaqPeL,https://api.spotify.com/v1/audio-analysis/4IfJuDOnqRfVVnzsDaqPeL,180000,4
7,0.773,0.623,2,-5.267,1,0.196,0.00194,0.0,0.133,0.13,153.1,audio_features,5qyZ6LcHvBiIHLaoED8K4g,spotify:track:5qyZ6LcHvBiIHLaoED8K4g,https://api.spotify.com/v1/tracks/5qyZ6LcHvBiIHLaoED8K4g,https://api.spotify.com/v1/audio-analysis/5qyZ6LcHvBiIHLaoED8K4g,150527,4
8,0.65,0.597,8,-5.544,0,0.313,0.342,0.0,0.104,0.808,90.635,audio_features,7u5305l9KSUD6hKfpl3QSQ,spotify:track:7u5305l9KSUD6hKfpl3QSQ,https://api.spotify.com/v1/tracks/7u5305l9KSUD6hKfpl3QSQ,https://api.spotify.com/v1/audio-analysis/7u5305l9KSUD6hKfpl3QSQ,234667,4
9,0.869,0.511,1,-4.968,1,0.284,0.00251,0.0,0.348,0.0396,143.985,audio_features,6GihDPzqj62VkQVfLHncUn,spotify:track:6GihDPzqj62VkQVfLHncUn,https://api.spotify.com/v1/tracks/6GihDPzqj62VkQVfLHncUn,https://api.spotify.com/v1/audio-analysis/6GihDPzqj62VkQVfLHncUn,183333,4
