,external_urls,href,id,name,type,uri
0,{'spotify': 'https://open.spotify.com/artist/20sxb77xiYeusSH8cVdatc'},https://api.spotify.com/v1/artists/20sxb77xiYeusSH8cVdatc,20sxb77xiYeusSH8cVdatc,Meek Mill,artist,spotify:artist:20sxb77xiYeusSH8cVdatc
1,{'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'},https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,Drake,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4
2,{'spotify': 'https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ'},https://api.spotify.com/v1/artists/2LIk90788K0zvyj2JJVwkJ,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,artist,spotify:artist:2LIk90788K0zvyj2JJVwkJ
3,{'spotify': 'https://open.spotify.com/artist/2jku7tDXc6XoB6MO2hFuqg'},https://api.spotify.com/v1/artists/2jku7tDXc6XoB6MO2hFuqg,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,artist,spotify:artist:2jku7tDXc6XoB6MO2hFuqg
4,{'spotify': 'https://open.spotify.com/artist/4r63FhuTkUYltbVAg5TQnk'},https://api.spotify.com/v1/artists/4r63FhuTkUYltbVAg5TQnk,4r63FhuTkUYltbVAg5TQnk,DaBaby,artist,spotify:artist:4r63FhuTkUYltbVAg5TQnk
5,{'spotify': 'https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865'},https://api.spotify.com/v1/artists/55Aa2cqylxrFIXC767Z865,55Aa2cqylxrFIXC767Z865,Lil Wayne,artist,spotify:artist:55Aa2cqylxrFIXC767Z865
6,{'spotify': 'https://open.spotify.com/artist/4DdkRBBYG6Yk9Ka8tdJ9BW'},https://api.spotify.com/v1/artists/4DdkRBBYG6Yk9Ka8tdJ9BW,4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,artist,spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW
7,{'spotify': 'https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp'},https://api.spotify.com/v1/artists/0iEtIxbK0KxaSlF7G42ZOp,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,artist,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
8,{'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'},https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,Drake,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4
9,{'spotify': 'https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK'},https://api.spotify.com/v1/artists/5f7VJjfbwm532GiveGC0ZK,5f7VJjfbwm532GiveGC0ZK,Lil Baby,artist,spotify:artist:5f7VJjfbwm532GiveGC0ZK
10,{'spotify': 'https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5'},https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,artist,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5
11,{'spotify': 'https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo'},https://api.spotify.com/v1/artists/13y7CgLHjMVRMDqxdx0Xdo,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,artist,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo
12,{'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'},https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,Drake,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4
13,{'spotify': 'https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i'},https://api.spotify.com/v1/artists/1RyvyyTE3xzB2ZywiAwp0i,1RyvyyTE3xzB2ZywiAwp0i,Future,artist,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
14,{'spotify': 'https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn'},https://api.spotify.com/v1/artists/50co4Is1HCEo8bhOyUWKpn,50co4Is1HCEo8bhOyUWKpn,Young Thug,artist,spotify:artist:50co4Is1HCEo8bhOyUWKpn
