Name,Values
LR Uplift,[]
Georgi Kay,"['australian dance', 'perth indie']"
Boston Bun,['pop edm']
Amin Canaan,[]
Zuqiang Wu,[]
Black Sabbath,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']"
Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']"
Joel Gershom,[]
George Acosta featuring Fisher,"['contemporary country', 'country', 'country road', 'country rock']"
SZA,"['pop', 'r&b', 'rap']"
Will Atkinson,"['progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
Paramore,"['candy pop', 'pixie', 'pop emo', 'pop punk']"
Alex Wright,[]
ARTY,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']"
Tom Thaler & Basil,[]
Baauer,"['bass trap', 'electro house', 'electronic trap', 'vapor twitch']"
Abrupt Gear,[]
David Guetta,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
K.I.D.,[]
Trilucid,[]
Pete Seeger,"['american folk revival', 'appalachian folk', 'banjo', 'folk', 'folk rock', 'old-time', 'traditional folk']"
Leonard A,['focus']
Marco Torrance,[]
Andy Duguid featuring Leah,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Jaco,"['contemporary country', 'country', 'country road']"
Lil Wyte,"['country rap', 'crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'pop rap', 'redneck', 'southern hip hop', 'trap']"
Simon Doty,"['funky tech house', 'progressive house']"
Rivers Cuomo,"['modern rock', 'pop rap']"
Rank 1,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance']"
Harry Square,[]
Estiva,"['pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Para X,"['cali rap', 'trap', 'underground hip hop', 'vapor trap']"
capshun,[]
Craving,"['contemporary country', 'country', 'country road', 'modern country rock']"
Zion I,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'pop rap', 'underground rap']"
Icona Pop,"['candy pop', 'dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'pop dance', 'swedish electropop', 'swedish synthpop']"
Somna and Vijo Caselle featuring Sarah-Jane Neild,"['djent', 'instrumental djent', 'instrumental rock', 'jazz metal', 'progressive jazz fusion', 'progressive metal']"
Tinie Tempah,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']"
Tom Waits,"['folk', 'folk rock', 'roots rock', 'singer-songwriter']"
