,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.527,0.947,9,-3.491,1,0.0548,0.161,0.00217,0.591,0.506,119.976,audio_features,2iJY0mfyEiWjJPaefBGDCq,spotify:track:2iJY0mfyEiWjJPaefBGDCq,https://api.spotify.com/v1/tracks/2iJY0mfyEiWjJPaefBGDCq,https://api.spotify.com/v1/audio-analysis/2iJY0mfyEiWjJPaefBGDCq,230213,4
1,0.378,0.811,6,-8.375,1,0.0802,0.469,0.41,0.802,0.396,90.918,audio_features,1BGclpDgyBy00G2Cv6cLrC,spotify:track:1BGclpDgyBy00G2Cv6cLrC,https://api.spotify.com/v1/tracks/1BGclpDgyBy00G2Cv6cLrC,https://api.spotify.com/v1/audio-analysis/1BGclpDgyBy00G2Cv6cLrC,316667,4
2,0.53,0.722,7,-4.88,1,0.0357,0.0055,0.0333,0.075,0.318,123.012,audio_features,5WbNOXFk5JaokkoIoRFbdV,spotify:track:5WbNOXFk5JaokkoIoRFbdV,https://api.spotify.com/v1/tracks/5WbNOXFk5JaokkoIoRFbdV,https://api.spotify.com/v1/audio-analysis/5WbNOXFk5JaokkoIoRFbdV,179707,4
3,0.448,0.974,2,-4.799,1,0.116,0.00855,0.584,0.774,0.404,179.029,audio_features,4qLv1TnGyShS1dokhpSRpG,spotify:track:4qLv1TnGyShS1dokhpSRpG,https://api.spotify.com/v1/tracks/4qLv1TnGyShS1dokhpSRpG,https://api.spotify.com/v1/audio-analysis/4qLv1TnGyShS1dokhpSRpG,258533,4
4,0.464,0.915,11,-5.191,0,0.101,0.000132,0.584,0.276,0.251,122.013,audio_features,3d34ODE9QC0MgNevwztWBJ,spotify:track:3d34ODE9QC0MgNevwztWBJ,https://api.spotify.com/v1/tracks/3d34ODE9QC0MgNevwztWBJ,https://api.spotify.com/v1/audio-analysis/3d34ODE9QC0MgNevwztWBJ,246147,4
5,0.35,0.926,4,-5.717,0,0.127,0.316,0.00183,0.182,0.413,116.304,audio_features,5pQQOaJuTi1vFhcD2bow2T,spotify:track:5pQQOaJuTi1vFhcD2bow2T,https://api.spotify.com/v1/tracks/5pQQOaJuTi1vFhcD2bow2T,https://api.spotify.com/v1/audio-analysis/5pQQOaJuTi1vFhcD2bow2T,303387,4
6,0.37,0.992,1,-2.99,1,0.0727,0.0127,0.00017,0.478,0.0888,136.869,audio_features,7JzONXwlu2F6Gm8HkU2pyl,spotify:track:7JzONXwlu2F6Gm8HkU2pyl,https://api.spotify.com/v1/tracks/7JzONXwlu2F6Gm8HkU2pyl,https://api.spotify.com/v1/audio-analysis/7JzONXwlu2F6Gm8HkU2pyl,173147,4
7,0.501,0.912,9,-5.849,0,0.0455,0.000357,0.0715,0.0638,0.2,103.962,audio_features,0rCcO3LMcVgyENrfbsGsUT,spotify:track:0rCcO3LMcVgyENrfbsGsUT,https://api.spotify.com/v1/tracks/0rCcO3LMcVgyENrfbsGsUT,https://api.spotify.com/v1/audio-analysis/0rCcO3LMcVgyENrfbsGsUT,316947,4
8,0.498,0.663,9,-5.833,0,0.0326,0.461,3.1e-05,0.17,0.455,125.983,audio_features,7Kw08Nb8DZItFtW6RTn1Ko,spotify:track:7Kw08Nb8DZItFtW6RTn1Ko,https://api.spotify.com/v1/tracks/7Kw08Nb8DZItFtW6RTn1Ko,https://api.spotify.com/v1/audio-analysis/7Kw08Nb8DZItFtW6RTn1Ko,244520,4
9,0.524,0.925,9,-6.797,1,0.0632,0.00159,0.0236,0.152,0.254,124.99,audio_features,3xjMYxYOvQhDuKaPatsS7v,spotify:track:3xjMYxYOvQhDuKaPatsS7v,https://api.spotify.com/v1/tracks/3xjMYxYOvQhDuKaPatsS7v,https://api.spotify.com/v1/audio-analysis/3xjMYxYOvQhDuKaPatsS7v,288547,4
10,0.255,0.59,0,-9.601,1,0.0383,0.00973,0.62,0.761,0.0375,169.991,audio_features,2vUcwMqXIaxkpOK4GBJ3vx,spotify:track:2vUcwMqXIaxkpOK4GBJ3vx,https://api.spotify.com/v1/tracks/2vUcwMqXIaxkpOK4GBJ3vx,https://api.spotify.com/v1/audio-analysis/2vUcwMqXIaxkpOK4GBJ3vx,294253,4
11,0.527,0.947,9,-3.491,1,0.0548,0.161,0.00217,0.591,0.506,119.976,audio_features,7LpPpDrgRJl2lBclcDTZd8,spotify:track:7LpPpDrgRJl2lBclcDTZd8,https://api.spotify.com/v1/tracks/7LpPpDrgRJl2lBclcDTZd8,https://api.spotify.com/v1/audio-analysis/7LpPpDrgRJl2lBclcDTZd8,230213,4
12,0.378,0.811,6,-8.375,1,0.0802,0.469,0.41,0.802,0.396,90.918,audio_features,31U4cXm2ikC42NKe6wNoSv,spotify:track:31U4cXm2ikC42NKe6wNoSv,https://api.spotify.com/v1/tracks/31U4cXm2ikC42NKe6wNoSv,https://api.spotify.com/v1/audio-analysis/31U4cXm2ikC42NKe6wNoSv,316667,4
13,0.53,0.722,7,-4.88,1,0.0357,0.0055,0.0333,0.075,0.318,123.005,audio_features,45v1E8pWKwMKIdq3apMusJ,spotify:track:45v1E8pWKwMKIdq3apMusJ,https://api.spotify.com/v1/tracks/45v1E8pWKwMKIdq3apMusJ,https://api.spotify.com/v1/audio-analysis/45v1E8pWKwMKIdq3apMusJ,179707,4
14,0.448,0.974,2,-4.799,1,0.116,0.00855,0.584,0.774,0.404,179.029,audio_features,3Ldtx9M3DVwN7GTDfoKIVS,spotify:track:3Ldtx9M3DVwN7GTDfoKIVS,https://api.spotify.com/v1/tracks/3Ldtx9M3DVwN7GTDfoKIVS,https://api.spotify.com/v1/audio-analysis/3Ldtx9M3DVwN7GTDfoKIVS,258533,4
15,0.464,0.915,11,-5.191,0,0.101,0.000132,0.584,0.276,0.251,122.013,audio_features,1EgNsJlHtR3Dg7NYM4agBz,spotify:track:1EgNsJlHtR3Dg7NYM4agBz,https://api.spotify.com/v1/tracks/1EgNsJlHtR3Dg7NYM4agBz,https://api.spotify.com/v1/audio-analysis/1EgNsJlHtR3Dg7NYM4agBz,246147,4
16,0.35,0.926,4,-5.717,0,0.127,0.316,0.00183,0.182,0.413,116.303,audio_features,1m4iqQR4hUR1bQcQjLMABb,spotify:track:1m4iqQR4hUR1bQcQjLMABb,https://api.spotify.com/v1/tracks/1m4iqQR4hUR1bQcQjLMABb,https://api.spotify.com/v1/audio-analysis/1m4iqQR4hUR1bQcQjLMABb,303387,4
17,0.37,0.992,1,-2.99,1,0.0727,0.0127,0.00017,0.478,0.0888,136.869,audio_features,2lVS1e1MEz3oQQhPbRCxZm,spotify:track:2lVS1e1MEz3oQQhPbRCxZm,https://api.spotify.com/v1/tracks/2lVS1e1MEz3oQQhPbRCxZm,https://api.spotify.com/v1/audio-analysis/2lVS1e1MEz3oQQhPbRCxZm,173147,4
18,0.501,0.912,9,-5.849,0,0.0455,0.000357,0.0715,0.0638,0.2,103.962,audio_features,4ikCDC6mfQuS2mPM5wuOug,spotify:track:4ikCDC6mfQuS2mPM5wuOug,https://api.spotify.com/v1/tracks/4ikCDC6mfQuS2mPM5wuOug,https://api.spotify.com/v1/audio-analysis/4ikCDC6mfQuS2mPM5wuOug,316947,4
19,0.498,0.663,9,-5.833,0,0.0326,0.461,3.1e-05,0.17,0.455,125.983,audio_features,78jZ3Qlxlz1e1YhjIozz9L,spotify:track:78jZ3Qlxlz1e1YhjIozz9L,https://api.spotify.com/v1/tracks/78jZ3Qlxlz1e1YhjIozz9L,https://api.spotify.com/v1/audio-analysis/78jZ3Qlxlz1e1YhjIozz9L,244520,4
20,0.524,0.925,9,-6.797,1,0.0632,0.00159,0.0237,0.152,0.254,124.989,audio_features,0VOrE6bX95QzbHQwqRZgQc,spotify:track:0VOrE6bX95QzbHQwqRZgQc,https://api.spotify.com/v1/tracks/0VOrE6bX95QzbHQwqRZgQc,https://api.spotify.com/v1/audio-analysis/0VOrE6bX95QzbHQwqRZgQc,288547,4
21,0.255,0.59,0,-9.601,1,0.0383,0.00973,0.62,0.761,0.0375,169.991,audio_features,5szRWJKzrRty3AuiH4u48D,spotify:track:5szRWJKzrRty3AuiH4u48D,https://api.spotify.com/v1/tracks/5szRWJKzrRty3AuiH4u48D,https://api.spotify.com/v1/audio-analysis/5szRWJKzrRty3AuiH4u48D,294253,4
22,0.527,0.947,9,-3.491,1,0.0548,0.161,0.00217,0.591,0.506,119.976,audio_features,5DHuNZVCwARtQPtyN6apgu,spotify:track:5DHuNZVCwARtQPtyN6apgu,https://api.spotify.com/v1/tracks/5DHuNZVCwARtQPtyN6apgu,https://api.spotify.com/v1/audio-analysis/5DHuNZVCwARtQPtyN6apgu,230213,4
23,0.378,0.811,6,-8.375,1,0.0802,0.469,0.41,0.802,0.396,90.918,audio_features,0RblHXGOA9GCXUovAtESwl,spotify:track:0RblHXGOA9GCXUovAtESwl,https://api.spotify.com/v1/tracks/0RblHXGOA9GCXUovAtESwl,https://api.spotify.com/v1/audio-analysis/0RblHXGOA9GCXUovAtESwl,316667,4
24,0.53,0.722,7,-4.88,1,0.0357,0.0055,0.0333,0.075,0.318,123.005,audio_features,6r0jgAbA7sEINA3fcsOPjT,spotify:track:6r0jgAbA7sEINA3fcsOPjT,https://api.spotify.com/v1/tracks/6r0jgAbA7sEINA3fcsOPjT,https://api.spotify.com/v1/audio-analysis/6r0jgAbA7sEINA3fcsOPjT,179707,4
25,0.448,0.974,2,-4.799,1,0.116,0.00855,0.584,0.774,0.404,179.029,audio_features,3ET8WRwSiDXCUytH9Zbmxd,spotify:track:3ET8WRwSiDXCUytH9Zbmxd,https://api.spotify.com/v1/tracks/3ET8WRwSiDXCUytH9Zbmxd,https://api.spotify.com/v1/audio-analysis/3ET8WRwSiDXCUytH9Zbmxd,258533,4
26,0.464,0.915,11,-5.191,0,0.101,0.000132,0.584,0.276,0.251,122.013,audio_features,38A3Oh9vTwpAj10NEK77Me,spotify:track:38A3Oh9vTwpAj10NEK77Me,https://api.spotify.com/v1/tracks/38A3Oh9vTwpAj10NEK77Me,https://api.spotify.com/v1/audio-analysis/38A3Oh9vTwpAj10NEK77Me,246147,4
27,0.35,0.926,4,-5.717,0,0.127,0.316,0.00183,0.182,0.413,116.303,audio_features,76uOZZ3C33d0pqdNrYdLBY,spotify:track:76uOZZ3C33d0pqdNrYdLBY,https://api.spotify.com/v1/tracks/76uOZZ3C33d0pqdNrYdLBY,https://api.spotify.com/v1/audio-analysis/76uOZZ3C33d0pqdNrYdLBY,303387,4
28,0.37,0.992,1,-2.99,1,0.0727,0.0127,0.00017,0.478,0.0888,136.869,audio_features,7qc4K8OTrPe46qUDQTtRnm,spotify:track:7qc4K8OTrPe46qUDQTtRnm,https://api.spotify.com/v1/tracks/7qc4K8OTrPe46qUDQTtRnm,https://api.spotify.com/v1/audio-analysis/7qc4K8OTrPe46qUDQTtRnm,173147,4
29,0.501,0.912,9,-5.849,0,0.0455,0.000357,0.0715,0.0638,0.2,103.962,audio_features,2xpq9rUlRugO26RtLtZVnN,spotify:track:2xpq9rUlRugO26RtLtZVnN,https://api.spotify.com/v1/tracks/2xpq9rUlRugO26RtLtZVnN,https://api.spotify.com/v1/audio-analysis/2xpq9rUlRugO26RtLtZVnN,316947,4
30,0.498,0.663,9,-5.833,0,0.0326,0.461,3.1e-05,0.17,0.455,125.983,audio_features,0m5pXjP3sxcae4bdANulxT,spotify:track:0m5pXjP3sxcae4bdANulxT,https://api.spotify.com/v1/tracks/0m5pXjP3sxcae4bdANulxT,https://api.spotify.com/v1/audio-analysis/0m5pXjP3sxcae4bdANulxT,244520,4
31,0.524,0.925,9,-6.797,1,0.0632,0.00159,0.0237,0.152,0.254,124.989,audio_features,7p28ZJIwTigIlBqE8FIU69,spotify:track:7p28ZJIwTigIlBqE8FIU69,https://api.spotify.com/v1/tracks/7p28ZJIwTigIlBqE8FIU69,https://api.spotify.com/v1/audio-analysis/7p28ZJIwTigIlBqE8FIU69,288547,4
32,0.255,0.59,0,-9.601,1,0.0383,0.00973,0.62,0.761,0.0375,169.991,audio_features,0jR369VlP9efsn3SS1N8PG,spotify:track:0jR369VlP9efsn3SS1N8PG,https://api.spotify.com/v1/tracks/0jR369VlP9efsn3SS1N8PG,https://api.spotify.com/v1/audio-analysis/0jR369VlP9efsn3SS1N8PG,294013,4
33,0.576,0.207,6,-14.119,1,0.0301,0.336,0.348,0.121,0.225,93.874,audio_features,2cfTWdwpzlfEwNYG0Lbrax,spotify:track:2cfTWdwpzlfEwNYG0Lbrax,https://api.spotify.com/v1/tracks/2cfTWdwpzlfEwNYG0Lbrax,https://api.spotify.com/v1/audio-analysis/2cfTWdwpzlfEwNYG0Lbrax,231880,4
34,0.413,0.151,0,-13.183,1,0.0519,0.818,0.00316,0.113,0.151,172.198,audio_features,0ShTh1qMxhCRDTnknP6pVn,spotify:track:0ShTh1qMxhCRDTnknP6pVn,https://api.spotify.com/v1/tracks/0ShTh1qMxhCRDTnknP6pVn,https://api.spotify.com/v1/audio-analysis/0ShTh1qMxhCRDTnknP6pVn,173333,4
35,0.491,0.425,9,-9.03,1,0.0292,0.84,0.0744,0.0873,0.258,111.766,audio_features,6DjyQcZse6e0jScnX3C4Td,spotify:track:6DjyQcZse6e0jScnX3C4Td,https://api.spotify.com/v1/tracks/6DjyQcZse6e0jScnX3C4Td,https://api.spotify.com/v1/audio-analysis/6DjyQcZse6e0jScnX3C4Td,300387,4
36,0.478,0.981,7,-1.906,1,0.155,0.552,0.853,0.319,0.246,123.02,audio_features,0ZwQ9rtgZM15kgP7XmyDu6,spotify:track:0ZwQ9rtgZM15kgP7XmyDu6,https://api.spotify.com/v1/tracks/0ZwQ9rtgZM15kgP7XmyDu6,https://api.spotify.com/v1/audio-analysis/0ZwQ9rtgZM15kgP7XmyDu6,202920,4
37,0.527,0.947,9,-3.491,1,0.0548,0.161,0.00217,0.591,0.506,119.976,audio_features,2pQZ9g4vaFNXO42kMe8e3w,spotify:track:2pQZ9g4vaFNXO42kMe8e3w,https://api.spotify.com/v1/tracks/2pQZ9g4vaFNXO42kMe8e3w,https://api.spotify.com/v1/audio-analysis/2pQZ9g4vaFNXO42kMe8e3w,230213,4
38,0.378,0.811,6,-8.375,1,0.0802,0.469,0.41,0.802,0.396,90.918,audio_features,26RaQ78CMoKTaxpXC3D7Zd,spotify:track:26RaQ78CMoKTaxpXC3D7Zd,https://api.spotify.com/v1/tracks/26RaQ78CMoKTaxpXC3D7Zd,https://api.spotify.com/v1/audio-analysis/26RaQ78CMoKTaxpXC3D7Zd,316667,4
39,0.53,0.722,7,-4.88,1,0.0357,0.0055,0.0333,0.075,0.318,123.012,audio_features,4W3nSbpunIWQmrhnkpiyE0,spotify:track:4W3nSbpunIWQmrhnkpiyE0,https://api.spotify.com/v1/tracks/4W3nSbpunIWQmrhnkpiyE0,https://api.spotify.com/v1/audio-analysis/4W3nSbpunIWQmrhnkpiyE0,179707,4
40,0.448,0.974,2,-4.799,1,0.116,0.00855,0.584,0.774,0.404,179.029,audio_features,4NVRAFB9Xkpluo3Iq5GeEO,spotify:track:4NVRAFB9Xkpluo3Iq5GeEO,https://api.spotify.com/v1/tracks/4NVRAFB9Xkpluo3Iq5GeEO,https://api.spotify.com/v1/audio-analysis/4NVRAFB9Xkpluo3Iq5GeEO,258533,4
41,0.464,0.915,11,-5.191,0,0.101,0.000132,0.584,0.276,0.251,122.013,audio_features,3KDNP1qeCGZRlExpJUPlzi,spotify:track:3KDNP1qeCGZRlExpJUPlzi,https://api.spotify.com/v1/tracks/3KDNP1qeCGZRlExpJUPlzi,https://api.spotify.com/v1/audio-analysis/3KDNP1qeCGZRlExpJUPlzi,246147,4
42,0.35,0.926,4,-5.717,0,0.127,0.316,0.00183,0.182,0.413,116.304,audio_features,21oHX1IZCVhiA5SRQfKvrY,spotify:track:21oHX1IZCVhiA5SRQfKvrY,https://api.spotify.com/v1/tracks/21oHX1IZCVhiA5SRQfKvrY,https://api.spotify.com/v1/audio-analysis/21oHX1IZCVhiA5SRQfKvrY,303387,4
