,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.387,0.253,5,-8.901,1,0.0336,0.798,0.000159,0.0848,0.134,68.004,audio_features,13CVSGLSFl4UxpDVR6u3dq,spotify:track:13CVSGLSFl4UxpDVR6u3dq,https://api.spotify.com/v1/tracks/13CVSGLSFl4UxpDVR6u3dq,https://api.spotify.com/v1/audio-analysis/13CVSGLSFl4UxpDVR6u3dq,182163,5
1,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,audio_features,46IZ0fSY2mpAiktS3KOqds,spotify:track:46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/tracks/46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/audio-analysis/46IZ0fSY2mpAiktS3KOqds,224695,4
2,0.339,0.492,1,-10.661,1,0.0559,0.829,0.00377,0.147,0.102,151.865,audio_features,2DuPBbS5mIldXnh7Wum8Cy,spotify:track:2DuPBbS5mIldXnh7Wum8Cy,https://api.spotify.com/v1/tracks/2DuPBbS5mIldXnh7Wum8Cy,https://api.spotify.com/v1/audio-analysis/2DuPBbS5mIldXnh7Wum8Cy,389107,4
3,0.756,0.713,7,-6.917,1,0.102,0.523,3.35e-06,0.248,0.59,125.064,audio_features,09u787BYeYIGd2mFIJ505t,spotify:track:09u787BYeYIGd2mFIJ505t,https://api.spotify.com/v1/tracks/09u787BYeYIGd2mFIJ505t,https://api.spotify.com/v1/audio-analysis/09u787BYeYIGd2mFIJ505t,255278,4
4,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098,audio_features,3Kkjo3cT83cw09VJyrLNwX,spotify:track:3Kkjo3cT83cw09VJyrLNwX,https://api.spotify.com/v1/tracks/3Kkjo3cT83cw09VJyrLNwX,https://api.spotify.com/v1/audio-analysis/3Kkjo3cT83cw09VJyrLNwX,225149,4
5,0.703,0.68,9,-6.118,0,0.0431,0.0171,0.0,0.178,0.536,97.985,audio_features,6w8ZPYdnGajyfPddTWdthN,spotify:track:6w8ZPYdnGajyfPddTWdthN,https://api.spotify.com/v1/tracks/6w8ZPYdnGajyfPddTWdthN,https://api.spotify.com/v1/audio-analysis/6w8ZPYdnGajyfPddTWdthN,210384,4
6,0.437,0.565,10,-5.596,1,0.0466,0.697,0.0,0.119,0.306,115.389,audio_features,6v0UJD4a2FtleHeSYVX02A,spotify:track:6v0UJD4a2FtleHeSYVX02A,https://api.spotify.com/v1/tracks/6v0UJD4a2FtleHeSYVX02A,https://api.spotify.com/v1/audio-analysis/6v0UJD4a2FtleHeSYVX02A,376169,4
7,0.734,0.497,8,-9.666,1,0.166,0.67,2.35e-05,0.194,0.307,127.989,audio_features,496vIKS2INz840xZaKncvR,spotify:track:496vIKS2INz840xZaKncvR,https://api.spotify.com/v1/tracks/496vIKS2INz840xZaKncvR,https://api.spotify.com/v1/audio-analysis/496vIKS2INz840xZaKncvR,161829,3
8,0.594,0.37,4,-10.561,0,0.173,0.749,3.2e-05,0.132,0.329,145.601,audio_features,2c6xRsQBv7pynuhYhWoHxo,spotify:track:2c6xRsQBv7pynuhYhWoHxo,https://api.spotify.com/v1/tracks/2c6xRsQBv7pynuhYhWoHxo,https://api.spotify.com/v1/audio-analysis/2c6xRsQBv7pynuhYhWoHxo,300248,4
9,0.366,0.364,0,-7.814,1,0.0433,0.858,1.15e-05,0.165,0.459,165.902,audio_features,6bGMSP3H9YqkmaLnaJTIoF,spotify:track:6bGMSP3H9YqkmaLnaJTIoF,https://api.spotify.com/v1/tracks/6bGMSP3H9YqkmaLnaJTIoF,https://api.spotify.com/v1/audio-analysis/6bGMSP3H9YqkmaLnaJTIoF,366004,4
10,0.356,0.176,8,-8.291,1,0.0391,0.843,0.0,0.231,0.289,170.425,audio_features,10ImcQk9tihY1EKMDIbvXJ,spotify:track:10ImcQk9tihY1EKMDIbvXJ,https://api.spotify.com/v1/tracks/10ImcQk9tihY1EKMDIbvXJ,https://api.spotify.com/v1/audio-analysis/10ImcQk9tihY1EKMDIbvXJ,403962,1
11,0.269,0.591,10,-5.79,0,0.0416,0.453,0.000695,0.0702,0.228,183.793,audio_features,2j3GxEsbNYNeEzz86wDY4J,spotify:track:2j3GxEsbNYNeEzz86wDY4J,https://api.spotify.com/v1/tracks/2j3GxEsbNYNeEzz86wDY4J,https://api.spotify.com/v1/audio-analysis/2j3GxEsbNYNeEzz86wDY4J,403044,4
12,0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,audio_features,1Yk0cQdMLx5RzzFTYwmuld,spotify:track:1Yk0cQdMLx5RzzFTYwmuld,https://api.spotify.com/v1/tracks/1Yk0cQdMLx5RzzFTYwmuld,https://api.spotify.com/v1/audio-analysis/1Yk0cQdMLx5RzzFTYwmuld,295502,4
13,0.688,0.533,6,-8.363,0,0.0865,0.0355,3.48e-06,0.172,0.567,164.069,audio_features,563SfWAHJs4FBZMkRN0IFN,spotify:track:563SfWAHJs4FBZMkRN0IFN,https://api.spotify.com/v1/tracks/563SfWAHJs4FBZMkRN0IFN,https://api.spotify.com/v1/audio-analysis/563SfWAHJs4FBZMkRN0IFN,223079,4
14,0.382,0.578,5,-4.246,1,0.047,0.00982,1.44e-05,0.433,0.156,113.072,audio_features,6NdG17SJBXKJeYS67f7E74,spotify:track:6NdG17SJBXKJeYS67f7E74,https://api.spotify.com/v1/tracks/6NdG17SJBXKJeYS67f7E74,https://api.spotify.com/v1/audio-analysis/6NdG17SJBXKJeYS67f7E74,348625,4
15,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,audio_features,6O5TrlFWTYvznd9fMC0VvU,spotify:track:6O5TrlFWTYvznd9fMC0VvU,https://api.spotify.com/v1/tracks/6O5TrlFWTYvznd9fMC0VvU,https://api.spotify.com/v1/audio-analysis/6O5TrlFWTYvznd9fMC0VvU,290900,4
16,0.405,0.3,2,-6.475,1,0.0378,0.894,0.0,0.154,0.24,162.355,audio_features,1zZh6zTXcDgvN0C6S1G4gU,spotify:track:1zZh6zTXcDgvN0C6S1G4gU,https://api.spotify.com/v1/tracks/1zZh6zTXcDgvN0C6S1G4gU,https://api.spotify.com/v1/audio-analysis/1zZh6zTXcDgvN0C6S1G4gU,245427,3
17,0.59,0.833,5,-6.503,0,0.0615,0.0142,5.4e-06,0.105,0.538,94.963,audio_features,2DRMuw0U0QbkVQxWxdJV3M,spotify:track:2DRMuw0U0QbkVQxWxdJV3M,https://api.spotify.com/v1/tracks/2DRMuw0U0QbkVQxWxdJV3M,https://api.spotify.com/v1/audio-analysis/2DRMuw0U0QbkVQxWxdJV3M,240439,4
18,0.384,0.585,1,-5.588,1,0.0311,0.0591,1.77e-06,0.116,0.252,82.378,audio_features,0bqC0AqaBZKBZsjhI3y2OW,spotify:track:0bqC0AqaBZKBZsjhI3y2OW,https://api.spotify.com/v1/tracks/0bqC0AqaBZKBZsjhI3y2OW,https://api.spotify.com/v1/audio-analysis/0bqC0AqaBZKBZsjhI3y2OW,225427,4
19,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821,audio_features,0DuWDLjriRPjDRoPgaCslY,spotify:track:0DuWDLjriRPjDRoPgaCslY,https://api.spotify.com/v1/tracks/0DuWDLjriRPjDRoPgaCslY,https://api.spotify.com/v1/audio-analysis/0DuWDLjriRPjDRoPgaCslY,285935,4
20,0.72,0.274,1,-7.623,0,0.0276,0.742,0.0,0.11,0.179,105.929,audio_features,2qBmtZnPSQouvADmqaHKxk,spotify:track:2qBmtZnPSQouvADmqaHKxk,https://api.spotify.com/v1/tracks/2qBmtZnPSQouvADmqaHKxk,https://api.spotify.com/v1/audio-analysis/2qBmtZnPSQouvADmqaHKxk,227066,4
21,0.591,0.28,4,-5.494,1,0.0283,0.889,0.0,0.124,0.348,141.916,audio_features,6DEMMeWXfmFAXgDUMMzeg6,spotify:track:6DEMMeWXfmFAXgDUMMzeg6,https://api.spotify.com/v1/tracks/6DEMMeWXfmFAXgDUMMzeg6,https://api.spotify.com/v1/audio-analysis/6DEMMeWXfmFAXgDUMMzeg6,271800,4
22,0.416,0.752,0,-5.471,1,0.0396,0.251,0.0,0.125,0.266,155.89,audio_features,2Eb7QQ5soJQBEYTfSb5BS6,spotify:track:2Eb7QQ5soJQBEYTfSb5BS6,https://api.spotify.com/v1/tracks/2Eb7QQ5soJQBEYTfSb5BS6,https://api.spotify.com/v1/audio-analysis/2Eb7QQ5soJQBEYTfSb5BS6,251702,3
23,0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,audio_features,62PaSfnXSMyLshYJrlTuL3,spotify:track:62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/tracks/62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/audio-analysis/62PaSfnXSMyLshYJrlTuL3,295502,4
24,0.688,0.533,6,-8.363,0,0.0865,0.0355,3.48e-06,0.172,0.567,164.069,audio_features,0t7fVeEJxO2Xi4H2K5Svc9,spotify:track:0t7fVeEJxO2Xi4H2K5Svc9,https://api.spotify.com/v1/tracks/0t7fVeEJxO2Xi4H2K5Svc9,https://api.spotify.com/v1/audio-analysis/0t7fVeEJxO2Xi4H2K5Svc9,223079,4
25,0.382,0.578,5,-4.246,1,0.047,0.00982,1.44e-05,0.433,0.156,113.072,audio_features,6QSJvH2m7QLAiFIywwzCVi,spotify:track:6QSJvH2m7QLAiFIywwzCVi,https://api.spotify.com/v1/tracks/6QSJvH2m7QLAiFIywwzCVi,https://api.spotify.com/v1/audio-analysis/6QSJvH2m7QLAiFIywwzCVi,348625,4
26,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,audio_features,7GgWAITsYJaRM3r50rfh5w,spotify:track:7GgWAITsYJaRM3r50rfh5w,https://api.spotify.com/v1/tracks/7GgWAITsYJaRM3r50rfh5w,https://api.spotify.com/v1/audio-analysis/7GgWAITsYJaRM3r50rfh5w,290900,4
27,0.405,0.3,2,-6.475,1,0.0378,0.894,0.0,0.154,0.24,162.355,audio_features,5CjKwY7FUJgKSwTVzoQIaU,spotify:track:5CjKwY7FUJgKSwTVzoQIaU,https://api.spotify.com/v1/tracks/5CjKwY7FUJgKSwTVzoQIaU,https://api.spotify.com/v1/audio-analysis/5CjKwY7FUJgKSwTVzoQIaU,245427,3
28,0.59,0.833,5,-6.503,0,0.0615,0.0142,5.4e-06,0.105,0.538,94.963,audio_features,4jL6WWKFDqCOPo2hC3VhSS,spotify:track:4jL6WWKFDqCOPo2hC3VhSS,https://api.spotify.com/v1/tracks/4jL6WWKFDqCOPo2hC3VhSS,https://api.spotify.com/v1/audio-analysis/4jL6WWKFDqCOPo2hC3VhSS,240439,4
29,0.384,0.585,1,-5.588,1,0.0311,0.0591,1.77e-06,0.116,0.252,82.378,audio_features,3hwu7jZD2TjvWCeHzNlgSE,spotify:track:3hwu7jZD2TjvWCeHzNlgSE,https://api.spotify.com/v1/tracks/3hwu7jZD2TjvWCeHzNlgSE,https://api.spotify.com/v1/audio-analysis/3hwu7jZD2TjvWCeHzNlgSE,225427,4
30,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821,audio_features,7B5Npv8NjjTCzk8PLpU66h,spotify:track:7B5Npv8NjjTCzk8PLpU66h,https://api.spotify.com/v1/tracks/7B5Npv8NjjTCzk8PLpU66h,https://api.spotify.com/v1/audio-analysis/7B5Npv8NjjTCzk8PLpU66h,285935,4
31,0.72,0.274,1,-7.623,0,0.0276,0.742,0.0,0.11,0.179,105.929,audio_features,0ijHEBUBXIJPp5ubUkDLQi,spotify:track:0ijHEBUBXIJPp5ubUkDLQi,https://api.spotify.com/v1/tracks/0ijHEBUBXIJPp5ubUkDLQi,https://api.spotify.com/v1/audio-analysis/0ijHEBUBXIJPp5ubUkDLQi,227066,4
32,0.591,0.28,4,-5.494,1,0.0283,0.889,0.0,0.124,0.348,141.916,audio_features,05TOt5Vz4StdjMpEdFPlvB,spotify:track:05TOt5Vz4StdjMpEdFPlvB,https://api.spotify.com/v1/tracks/05TOt5Vz4StdjMpEdFPlvB,https://api.spotify.com/v1/audio-analysis/05TOt5Vz4StdjMpEdFPlvB,271800,4
