,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.656,0.697,9,-6.462,0,0.054,0.0053,0.00234,0.0657,0.187,128.997,audio_features,1zsJBShWTMF1kFG169qbZN,spotify:track:1zsJBShWTMF1kFG169qbZN,https://api.spotify.com/v1/tracks/1zsJBShWTMF1kFG169qbZN,https://api.spotify.com/v1/audio-analysis/1zsJBShWTMF1kFG169qbZN,208667,4
1,0.599,0.915,4,-2.087,0,0.0664,0.00593,0.00943,0.484,0.59,119.004,audio_features,2FhGxDp5xyZo1IP153UmkY,spotify:track:2FhGxDp5xyZo1IP153UmkY,https://api.spotify.com/v1/tracks/2FhGxDp5xyZo1IP153UmkY,https://api.spotify.com/v1/audio-analysis/2FhGxDp5xyZo1IP153UmkY,207000,4
2,0.561,0.66,2,-7.014,0,0.04,0.0316,0.00812,0.09,0.383,99.968,audio_features,2Az9VKpz430fX3I7iH9XsR,spotify:track:2Az9VKpz430fX3I7iH9XsR,https://api.spotify.com/v1/tracks/2Az9VKpz430fX3I7iH9XsR,https://api.spotify.com/v1/audio-analysis/2Az9VKpz430fX3I7iH9XsR,240520,4
3,0.609,0.556,7,-7.849,1,0.0513,0.116,0.000793,0.229,0.646,167.004,audio_features,4lEgwdRbbqob72FvoYNLQh,spotify:track:4lEgwdRbbqob72FvoYNLQh,https://api.spotify.com/v1/tracks/4lEgwdRbbqob72FvoYNLQh,https://api.spotify.com/v1/audio-analysis/4lEgwdRbbqob72FvoYNLQh,197480,4
4,0.695,0.608,1,-6.117,1,0.0341,0.0262,4.2e-06,0.157,0.394,120.002,audio_features,5YYeaR9MDCs8btA06XJo56,spotify:track:5YYeaR9MDCs8btA06XJo56,https://api.spotify.com/v1/tracks/5YYeaR9MDCs8btA06XJo56,https://api.spotify.com/v1/audio-analysis/5YYeaR9MDCs8btA06XJo56,211853,4
5,0.635,0.711,11,-4.742,0,0.0339,0.044,0.0134,0.105,0.563,108.002,audio_features,1UwoL6Mab0yOrumYradV4s,spotify:track:1UwoL6Mab0yOrumYradV4s,https://api.spotify.com/v1/tracks/1UwoL6Mab0yOrumYradV4s,https://api.spotify.com/v1/audio-analysis/1UwoL6Mab0yOrumYradV4s,223213,4
6,0.447,0.637,9,-6.925,0,0.039,0.0269,0.062,0.0748,0.11,92.434,audio_features,6n2OPVFV9O9oJNSacct2BG,spotify:track:6n2OPVFV9O9oJNSacct2BG,https://api.spotify.com/v1/tracks/6n2OPVFV9O9oJNSacct2BG,https://api.spotify.com/v1/audio-analysis/6n2OPVFV9O9oJNSacct2BG,295867,4
7,0.486,0.374,4,-9.205,0,0.0294,0.667,1.16e-06,0.116,0.255,88.17,audio_features,1naO7kPzHiHacuvQP60imx,spotify:track:1naO7kPzHiHacuvQP60imx,https://api.spotify.com/v1/tracks/1naO7kPzHiHacuvQP60imx,https://api.spotify.com/v1/audio-analysis/1naO7kPzHiHacuvQP60imx,229467,4
8,0.497,0.881,1,-5.516,1,0.0337,0.0412,0.00273,0.109,0.611,154.99,audio_features,3kzCbxJOFUAAIvnKjaHBTv,spotify:track:3kzCbxJOFUAAIvnKjaHBTv,https://api.spotify.com/v1/tracks/3kzCbxJOFUAAIvnKjaHBTv,https://api.spotify.com/v1/audio-analysis/3kzCbxJOFUAAIvnKjaHBTv,211213,4
9,0.315,0.618,10,-6.71,0,0.053,0.0353,0.0118,0.113,0.226,79.175,audio_features,7yThqsP4K779oji5doV4iI,spotify:track:7yThqsP4K779oji5doV4iI,https://api.spotify.com/v1/tracks/7yThqsP4K779oji5doV4iI,https://api.spotify.com/v1/audio-analysis/7yThqsP4K779oji5doV4iI,203027,4
10,0.633,0.682,3,-6.605,0,0.036,0.0752,0.000246,0.174,0.664,110.062,audio_features,2vavTEdC8kOrlQ4IHvn5qo,spotify:track:2vavTEdC8kOrlQ4IHvn5qo,https://api.spotify.com/v1/tracks/2vavTEdC8kOrlQ4IHvn5qo,https://api.spotify.com/v1/audio-analysis/2vavTEdC8kOrlQ4IHvn5qo,217080,4
11,0.498,0.748,4,-5.766,0,0.256,0.145,0.0,0.0582,0.358,99.832,audio_features,5KrslcTeVkDwRwttVVHetx,spotify:track:5KrslcTeVkDwRwttVVHetx,https://api.spotify.com/v1/tracks/5KrslcTeVkDwRwttVVHetx,https://api.spotify.com/v1/audio-analysis/5KrslcTeVkDwRwttVVHetx,211418,4
12,0.615,0.667,9,-5.966,0,0.0546,0.00635,1.72e-05,0.269,0.49,112.481,audio_features,4m562HkASV1QOIQ8ugzaRu,spotify:track:4m562HkASV1QOIQ8ugzaRu,https://api.spotify.com/v1/tracks/4m562HkASV1QOIQ8ugzaRu,https://api.spotify.com/v1/audio-analysis/4m562HkASV1QOIQ8ugzaRu,178533,4
13,0.611,0.717,10,-7.679,0,0.066,0.0248,0.0142,0.13,0.403,91.945,audio_features,7jfWb75dNTFhjRIaVr6UBk,spotify:track:7jfWb75dNTFhjRIaVr6UBk,https://api.spotify.com/v1/tracks/7jfWb75dNTFhjRIaVr6UBk,https://api.spotify.com/v1/audio-analysis/7jfWb75dNTFhjRIaVr6UBk,221867,4
14,0.709,0.905,11,-5.008,0,0.0484,0.0011,0.0226,0.0796,0.449,123.995,audio_features,4Tv2bolZBwXmXgZgUqdkv5,spotify:track:4Tv2bolZBwXmXgZgUqdkv5,https://api.spotify.com/v1/tracks/4Tv2bolZBwXmXgZgUqdkv5,https://api.spotify.com/v1/audio-analysis/4Tv2bolZBwXmXgZgUqdkv5,224640,4
15,0.654,0.597,4,-8.211,0,0.062,0.191,3.98e-05,0.11,0.25,93.002,audio_features,38hLO9lerI5muhiRXqIhAN,spotify:track:38hLO9lerI5muhiRXqIhAN,https://api.spotify.com/v1/tracks/38hLO9lerI5muhiRXqIhAN,https://api.spotify.com/v1/audio-analysis/38hLO9lerI5muhiRXqIhAN,204893,4
16,0.656,0.697,9,-6.462,0,0.054,0.0053,0.00234,0.0657,0.187,128.997,audio_features,7uTrA7T7ZXPonAcLee3Ou9,spotify:track:7uTrA7T7ZXPonAcLee3Ou9,https://api.spotify.com/v1/tracks/7uTrA7T7ZXPonAcLee3Ou9,https://api.spotify.com/v1/audio-analysis/7uTrA7T7ZXPonAcLee3Ou9,208667,4
17,0.599,0.915,4,-2.087,0,0.0664,0.00593,0.00943,0.484,0.59,119.004,audio_features,3FmsKw8ie3KLC5273nH6wD,spotify:track:3FmsKw8ie3KLC5273nH6wD,https://api.spotify.com/v1/tracks/3FmsKw8ie3KLC5273nH6wD,https://api.spotify.com/v1/audio-analysis/3FmsKw8ie3KLC5273nH6wD,207000,4
18,0.561,0.66,2,-7.014,0,0.04,0.0316,0.00812,0.09,0.383,99.968,audio_features,6h8uJyFvuk6QYzYJsvt7p6,spotify:track:6h8uJyFvuk6QYzYJsvt7p6,https://api.spotify.com/v1/tracks/6h8uJyFvuk6QYzYJsvt7p6,https://api.spotify.com/v1/audio-analysis/6h8uJyFvuk6QYzYJsvt7p6,240520,4
19,0.609,0.556,7,-7.849,1,0.0513,0.116,0.000793,0.229,0.646,167.004,audio_features,5yfYobylRcCUV0Dh6WhY8Y,spotify:track:5yfYobylRcCUV0Dh6WhY8Y,https://api.spotify.com/v1/tracks/5yfYobylRcCUV0Dh6WhY8Y,https://api.spotify.com/v1/audio-analysis/5yfYobylRcCUV0Dh6WhY8Y,197480,4
20,0.695,0.608,1,-6.117,1,0.0341,0.0262,4.2e-06,0.157,0.394,120.002,audio_features,5AsNwUFxkkDqUp81YD4EYU,spotify:track:5AsNwUFxkkDqUp81YD4EYU,https://api.spotify.com/v1/tracks/5AsNwUFxkkDqUp81YD4EYU,https://api.spotify.com/v1/audio-analysis/5AsNwUFxkkDqUp81YD4EYU,211853,4
21,0.635,0.711,11,-4.742,0,0.0339,0.044,0.0134,0.105,0.563,108.002,audio_features,6OJogoHnrl8bdsgt2Wv8xi,spotify:track:6OJogoHnrl8bdsgt2Wv8xi,https://api.spotify.com/v1/tracks/6OJogoHnrl8bdsgt2Wv8xi,https://api.spotify.com/v1/audio-analysis/6OJogoHnrl8bdsgt2Wv8xi,223213,4
22,0.447,0.637,9,-6.925,0,0.039,0.0269,0.062,0.0748,0.11,92.434,audio_features,7mjBzmb1HmwJq0tkXLdoC8,spotify:track:7mjBzmb1HmwJq0tkXLdoC8,https://api.spotify.com/v1/tracks/7mjBzmb1HmwJq0tkXLdoC8,https://api.spotify.com/v1/audio-analysis/7mjBzmb1HmwJq0tkXLdoC8,295867,4
23,0.486,0.374,4,-9.205,0,0.0294,0.667,1.16e-06,0.116,0.255,88.17,audio_features,3XujDGA7LqWSHNQ0PaE7X0,spotify:track:3XujDGA7LqWSHNQ0PaE7X0,https://api.spotify.com/v1/tracks/3XujDGA7LqWSHNQ0PaE7X0,https://api.spotify.com/v1/audio-analysis/3XujDGA7LqWSHNQ0PaE7X0,229467,4
24,0.497,0.881,1,-5.516,1,0.0337,0.0412,0.00273,0.109,0.611,154.99,audio_features,4aSANSddXCwb9Sp1nYT1Kc,spotify:track:4aSANSddXCwb9Sp1nYT1Kc,https://api.spotify.com/v1/tracks/4aSANSddXCwb9Sp1nYT1Kc,https://api.spotify.com/v1/audio-analysis/4aSANSddXCwb9Sp1nYT1Kc,211213,4
25,0.315,0.618,10,-6.71,0,0.053,0.0353,0.0118,0.113,0.226,79.175,audio_features,6gqZzQyJfKqdc9boOILz4x,spotify:track:6gqZzQyJfKqdc9boOILz4x,https://api.spotify.com/v1/tracks/6gqZzQyJfKqdc9boOILz4x,https://api.spotify.com/v1/audio-analysis/6gqZzQyJfKqdc9boOILz4x,203027,4
26,0.633,0.682,3,-6.605,0,0.036,0.0752,0.000246,0.174,0.664,110.062,audio_features,0apirQoj4Ofa9VXmxD7tWJ,spotify:track:0apirQoj4Ofa9VXmxD7tWJ,https://api.spotify.com/v1/tracks/0apirQoj4Ofa9VXmxD7tWJ,https://api.spotify.com/v1/audio-analysis/0apirQoj4Ofa9VXmxD7tWJ,217080,4
27,0.45,0.84,5,-5.938,1,0.0713,0.0189,0.0251,0.139,0.185,124.821,audio_features,7eN3lGwu6SSmwYGH9PlpYa,spotify:track:7eN3lGwu6SSmwYGH9PlpYa,https://api.spotify.com/v1/tracks/7eN3lGwu6SSmwYGH9PlpYa,https://api.spotify.com/v1/audio-analysis/7eN3lGwu6SSmwYGH9PlpYa,254358,4
28,0.476,0.931,4,-4.092,0,0.0493,0.00438,0.00222,0.174,0.11,130.912,audio_features,1GaRkv5LKUjTGbDBy9ZbB6,spotify:track:1GaRkv5LKUjTGbDBy9ZbB6,https://api.spotify.com/v1/tracks/1GaRkv5LKUjTGbDBy9ZbB6,https://api.spotify.com/v1/audio-analysis/1GaRkv5LKUjTGbDBy9ZbB6,269552,4
29,0.567,0.853,1,-4.605,0,0.0682,0.122,0.282,0.136,0.27,119.964,audio_features,3Yc3DI66pY5AVHmfgYQtZh,spotify:track:3Yc3DI66pY5AVHmfgYQtZh,https://api.spotify.com/v1/tracks/3Yc3DI66pY5AVHmfgYQtZh,https://api.spotify.com/v1/audio-analysis/3Yc3DI66pY5AVHmfgYQtZh,275587,4
