,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.613,0.6,10,-5.621,1,0.281,0.108,1.67e-06,0.274,0.067,130.732,audio_features,6G9aDedv5hYaTgNYDuduqk,spotify:track:6G9aDedv5hYaTgNYDuduqk,https://api.spotify.com/v1/tracks/6G9aDedv5hYaTgNYDuduqk,https://api.spotify.com/v1/audio-analysis/6G9aDedv5hYaTgNYDuduqk,270671,4
1,0.653,0.547,8,-6.324,1,0.171,0.00898,0.0,0.116,0.248,93.631,audio_features,3wYMHB6pS2miB3Bn9mD36w,spotify:track:3wYMHB6pS2miB3Bn9mD36w,https://api.spotify.com/v1/tracks/3wYMHB6pS2miB3Bn9mD36w,https://api.spotify.com/v1/audio-analysis/3wYMHB6pS2miB3Bn9mD36w,163509,4
2,0.585,0.437,4,-7.145,0,0.223,0.923,0.0,0.154,0.618,80.178,audio_features,0Zt9ySO9K4BrQW7cfFgKFR,spotify:track:0Zt9ySO9K4BrQW7cfFgKFR,https://api.spotify.com/v1/tracks/0Zt9ySO9K4BrQW7cfFgKFR,https://api.spotify.com/v1/audio-analysis/0Zt9ySO9K4BrQW7cfFgKFR,76832,1
3,0.663,0.583,11,-5.789,0,0.275,0.00472,0.0,0.125,0.146,121.678,audio_features,7vy76jf6qE0IvoREJrvZtg,spotify:track:7vy76jf6qE0IvoREJrvZtg,https://api.spotify.com/v1/tracks/7vy76jf6qE0IvoREJrvZtg,https://api.spotify.com/v1/audio-analysis/7vy76jf6qE0IvoREJrvZtg,316733,4
4,0.832,0.541,3,-8.324,0,0.0684,0.568,0.00118,0.111,0.233,131.994,audio_features,2emAwdap7qy3QEMEeDjQ42,spotify:track:2emAwdap7qy3QEMEeDjQ42,https://api.spotify.com/v1/tracks/2emAwdap7qy3QEMEeDjQ42,https://api.spotify.com/v1/audio-analysis/2emAwdap7qy3QEMEeDjQ42,219813,4
5,0.788,0.505,7,-6.507,1,0.0476,0.0217,0.0,0.176,0.119,129.939,audio_features,4KruBnoVyraGgPHjp8tKtB,spotify:track:4KruBnoVyraGgPHjp8tKtB,https://api.spotify.com/v1/tracks/4KruBnoVyraGgPHjp8tKtB,https://api.spotify.com/v1/audio-analysis/4KruBnoVyraGgPHjp8tKtB,140743,4
6,0.924,0.459,5,-6.203,1,0.0541,0.00701,0.0,0.139,0.548,117.857,audio_features,1Fdugso3XSs5sIeHETN0EN,spotify:track:1Fdugso3XSs5sIeHETN0EN,https://api.spotify.com/v1/tracks/1Fdugso3XSs5sIeHETN0EN,https://api.spotify.com/v1/audio-analysis/1Fdugso3XSs5sIeHETN0EN,174502,4
7,0.736,0.307,1,-8.346,0,0.431,0.42,0.000132,0.153,0.203,170.022,audio_features,3nutmkHFVHYY24pQBGxYX8,spotify:track:3nutmkHFVHYY24pQBGxYX8,https://api.spotify.com/v1/tracks/3nutmkHFVHYY24pQBGxYX8,https://api.spotify.com/v1/audio-analysis/3nutmkHFVHYY24pQBGxYX8,269728,4
8,0.822,0.696,4,-5.8,0,0.117,0.0415,0.0,0.0801,0.568,153.988,audio_features,1YYSGVMyHKhVi1ef46zNB9,spotify:track:1YYSGVMyHKhVi1ef46zNB9,https://api.spotify.com/v1/tracks/1YYSGVMyHKhVi1ef46zNB9,https://api.spotify.com/v1/audio-analysis/1YYSGVMyHKhVi1ef46zNB9,229608,4
9,0.711,0.611,1,-5.451,1,0.365,0.00582,0.0,0.23,0.143,134.111,audio_features,2P0Si3pfikrrkpLLnrXaLR,spotify:track:2P0Si3pfikrrkpLLnrXaLR,https://api.spotify.com/v1/tracks/2P0Si3pfikrrkpLLnrXaLR,https://api.spotify.com/v1/audio-analysis/2P0Si3pfikrrkpLLnrXaLR,252262,4
