,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.326,0.322,5,-20.192,1,0.0337,0.887,0.841,0.116,0.0651,89.657,audio_features,1a3G9SNslcKsPAOuIikaxd,spotify:track:1a3G9SNslcKsPAOuIikaxd,https://api.spotify.com/v1/tracks/1a3G9SNslcKsPAOuIikaxd,https://api.spotify.com/v1/audio-analysis/1a3G9SNslcKsPAOuIikaxd,53185,4
1,0.507,0.832,10,-5.931,1,0.0425,0.00643,1.6e-05,0.229,0.485,177.894,audio_features,65OR4ywy8Cgs3FDHK82Idl,spotify:track:65OR4ywy8Cgs3FDHK82Idl,https://api.spotify.com/v1/tracks/65OR4ywy8Cgs3FDHK82Idl,https://api.spotify.com/v1/audio-analysis/65OR4ywy8Cgs3FDHK82Idl,206682,4
2,0.575,0.838,2,-6.498,1,0.0454,0.000172,0.000103,0.458,0.215,135.006,audio_features,23BO6YozrAXUta1buxFZ80,spotify:track:23BO6YozrAXUta1buxFZ80,https://api.spotify.com/v1/tracks/23BO6YozrAXUta1buxFZ80,https://api.spotify.com/v1/audio-analysis/23BO6YozrAXUta1buxFZ80,266705,4
3,0.0859,0.289,5,-17.24,0,0.0359,0.805,0.99,0.141,0.038,166.784,audio_features,1danObd53GynoY83wRz3Ua,spotify:track:1danObd53GynoY83wRz3Ua,https://api.spotify.com/v1/tracks/1danObd53GynoY83wRz3Ua,https://api.spotify.com/v1/audio-analysis/1danObd53GynoY83wRz3Ua,53033,4
4,0.592,0.342,0,-8.93,1,0.0339,0.193,0.00245,0.11,0.155,130.953,audio_features,4cGqn0E8JCSY9gQllQj4Mf,spotify:track:4cGqn0E8JCSY9gQllQj4Mf,https://api.spotify.com/v1/tracks/4cGqn0E8JCSY9gQllQj4Mf,https://api.spotify.com/v1/audio-analysis/4cGqn0E8JCSY9gQllQj4Mf,241595,4
5,0.348,0.0491,4,-15.431,1,0.0404,0.97,0.000186,0.0918,0.232,136.68,audio_features,3oTYv0yShT4sjuPncoUXfK,spotify:track:3oTYv0yShT4sjuPncoUXfK,https://api.spotify.com/v1/tracks/3oTYv0yShT4sjuPncoUXfK,https://api.spotify.com/v1/audio-analysis/3oTYv0yShT4sjuPncoUXfK,188967,1
6,0.432,0.613,4,-6.785,0,0.0349,0.00581,0.0151,0.312,0.0911,136.362,audio_features,5ophZLHA9mwSZhQSmboyDN,spotify:track:5ophZLHA9mwSZhQSmboyDN,https://api.spotify.com/v1/tracks/5ophZLHA9mwSZhQSmboyDN,https://api.spotify.com/v1/audio-analysis/5ophZLHA9mwSZhQSmboyDN,217267,4
7,0.614,0.68,5,-7.84,0,0.0425,0.0168,0.00056,0.118,0.347,153.937,audio_features,2L2mM3rEO3arNIMQnb3dou,spotify:track:2L2mM3rEO3arNIMQnb3dou,https://api.spotify.com/v1/tracks/2L2mM3rEO3arNIMQnb3dou,https://api.spotify.com/v1/audio-analysis/2L2mM3rEO3arNIMQnb3dou,192395,4
8,0.115,0.907,3,-20.358,1,0.223,0.969,0.981,0.98,0.0185,189.885,audio_features,0RbekAlUrwR6ZWJdwB3V4y,spotify:track:0RbekAlUrwR6ZWJdwB3V4y,https://api.spotify.com/v1/tracks/0RbekAlUrwR6ZWJdwB3V4y,https://api.spotify.com/v1/audio-analysis/0RbekAlUrwR6ZWJdwB3V4y,21388,3
9,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,audio_features,46HNZY1i7O6jwTA7Slo2PI,spotify:track:46HNZY1i7O6jwTA7Slo2PI,https://api.spotify.com/v1/tracks/46HNZY1i7O6jwTA7Slo2PI,https://api.spotify.com/v1/audio-analysis/46HNZY1i7O6jwTA7Slo2PI,226198,4
10,0.576,0.896,2,-8.994,1,0.0412,0.00941,0.955,0.153,0.412,135.01,audio_features,2wleRXcIPqltoDPLMH5WDa,spotify:track:2wleRXcIPqltoDPLMH5WDa,https://api.spotify.com/v1/tracks/2wleRXcIPqltoDPLMH5WDa,https://api.spotify.com/v1/audio-analysis/2wleRXcIPqltoDPLMH5WDa,226141,4
11,0.285,0.265,2,-10.836,1,0.0288,0.629,0.179,0.066,0.0699,134.055,audio_features,0jH7gF7KCk2Lom9gimaKms,spotify:track:0jH7gF7KCk2Lom9gimaKms,https://api.spotify.com/v1/tracks/0jH7gF7KCk2Lom9gimaKms,https://api.spotify.com/v1/audio-analysis/0jH7gF7KCk2Lom9gimaKms,617057,4
12,0.146,0.216,9,-12.302,1,0.0399,0.939,0.54,0.0773,0.0341,78.045,audio_features,7H4NC6MYkcO91vrXwRQ4N1,spotify:track:7H4NC6MYkcO91vrXwRQ4N1,https://api.spotify.com/v1/tracks/7H4NC6MYkcO91vrXwRQ4N1,https://api.spotify.com/v1/audio-analysis/7H4NC6MYkcO91vrXwRQ4N1,151093,4
13,0.449,0.736,11,-6.98,0,0.0368,0.00865,0.145,0.147,0.133,123.973,audio_features,4nb8OcZG8lpnHi5DmkEnY2,spotify:track:4nb8OcZG8lpnHi5DmkEnY2,https://api.spotify.com/v1/tracks/4nb8OcZG8lpnHi5DmkEnY2,https://api.spotify.com/v1/audio-analysis/4nb8OcZG8lpnHi5DmkEnY2,230013,4
14,0.595,0.315,2,-11.456,0,0.0296,0.427,0.648,0.111,0.336,96.018,audio_features,49YD8pGETf5HUKxouVdq3W,spotify:track:49YD8pGETf5HUKxouVdq3W,https://api.spotify.com/v1/tracks/49YD8pGETf5HUKxouVdq3W,https://api.spotify.com/v1/audio-analysis/49YD8pGETf5HUKxouVdq3W,278907,4
15,0.55,0.271,5,-11.836,1,0.0495,0.923,0.0,0.147,0.521,130.151,audio_features,0puPjLkM0yGkHcgJ5Cx0Tu,spotify:track:0puPjLkM0yGkHcgJ5Cx0Tu,https://api.spotify.com/v1/tracks/0puPjLkM0yGkHcgJ5Cx0Tu,https://api.spotify.com/v1/audio-analysis/0puPjLkM0yGkHcgJ5Cx0Tu,150200,4
16,0.633,0.18,1,-19.54,1,0.034,0.931,0.801,0.513,0.2,116.981,audio_features,6s2hGG9yeBypHY9Gf8poVv,spotify:track:6s2hGG9yeBypHY9Gf8poVv,https://api.spotify.com/v1/tracks/6s2hGG9yeBypHY9Gf8poVv,https://api.spotify.com/v1/audio-analysis/6s2hGG9yeBypHY9Gf8poVv,298320,4
