,external_urls,href,id,name,type,uri
0,{'spotify': 'https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU'},https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,artist,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
1,{'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'},https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX,3Nrfpe0tUJi4K4DXYWgMUX,BTS,artist,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
2,{'spotify': 'https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx'},https://api.spotify.com/v1/artists/3YQKmKGau1PzlVlkL1iodx,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,artist,spotify:artist:3YQKmKGau1PzlVlkL1iodx
3,{'spotify': 'https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2'},https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,artist,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2
4,{'spotify': 'https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz'},https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,artist,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
5,{'spotify': 'https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5'},https://api.spotify.com/v1/artists/0L8ExT028jH3ddEcZwqJJ5,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,artist,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
6,{'spotify': 'https://open.spotify.com/artist/20JZFwl6HVl6yg8a4H3ZqK'},https://api.spotify.com/v1/artists/20JZFwl6HVl6yg8a4H3ZqK,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,artist,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK
7,{'spotify': 'https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB'},https://api.spotify.com/v1/artists/2ye2Wgw4gimLv2eAKyk1NB,2ye2Wgw4gimLv2eAKyk1NB,Metallica,artist,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB
8,{'spotify': 'https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH'},https://api.spotify.com/v1/artists/7Ln80lUS6He07XvHI8qqHH,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,artist,spotify:artist:7Ln80lUS6He07XvHI8qqHH
9,{'spotify': 'https://open.spotify.com/artist/2cFrymmkijnjDg9SS92EPM'},https://api.spotify.com/v1/artists/2cFrymmkijnjDg9SS92EPM,2cFrymmkijnjDg9SS92EPM,blackbear,artist,spotify:artist:2cFrymmkijnjDg9SS92EPM
10,{'spotify': 'https://open.spotify.com/artist/4UXqAaa6dQYAk18Lv7PEgX'},https://api.spotify.com/v1/artists/4UXqAaa6dQYAk18Lv7PEgX,4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,artist,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX
11,{'spotify': 'https://open.spotify.com/artist/7oPftvlwr6VrsViSDV7fJY'},https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,7oPftvlwr6VrsViSDV7fJY,Green Day,artist,spotify:artist:7oPftvlwr6VrsViSDV7fJY
12,{'spotify': 'https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un'},https://api.spotify.com/v1/artists/711MCceyCBcFnzjGY4Q7Un,711MCceyCBcFnzjGY4Q7Un,AC/DC,artist,spotify:artist:711MCceyCBcFnzjGY4Q7Un
