,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.518,0.637,11,-11.01,0,0.0464,0.605,0.608,0.274,0.636,127.794,audio_features,15bLA9McP2AJ2iy0Rz4SaX,spotify:track:15bLA9McP2AJ2iy0Rz4SaX,https://api.spotify.com/v1/tracks/15bLA9McP2AJ2iy0Rz4SaX,https://api.spotify.com/v1/audio-analysis/15bLA9McP2AJ2iy0Rz4SaX,167360,4
1,0.544,0.59,0,-11.953,1,0.117,0.16,0.293,0.162,0.681,112.792,audio_features,5s6nFgtOqTCAgoQJ2wp7bD,spotify:track:5s6nFgtOqTCAgoQJ2wp7bD,https://api.spotify.com/v1/tracks/5s6nFgtOqTCAgoQJ2wp7bD,https://api.spotify.com/v1/audio-analysis/5s6nFgtOqTCAgoQJ2wp7bD,499000,4
2,0.514,0.598,4,-12.262,0,0.0373,0.758,0.0139,0.179,0.809,114.788,audio_features,7EuogMJtNRDNA36RDDfhjL,spotify:track:7EuogMJtNRDNA36RDDfhjL,https://api.spotify.com/v1/tracks/7EuogMJtNRDNA36RDDfhjL,https://api.spotify.com/v1/audio-analysis/7EuogMJtNRDNA36RDDfhjL,296467,4
3,0.53,0.408,7,-14.962,1,0.0323,0.974,0.503,0.184,0.788,114.502,audio_features,2Qjd4UBwvjRy5GXuXH1PfU,spotify:track:2Qjd4UBwvjRy5GXuXH1PfU,https://api.spotify.com/v1/tracks/2Qjd4UBwvjRy5GXuXH1PfU,https://api.spotify.com/v1/audio-analysis/2Qjd4UBwvjRy5GXuXH1PfU,124173,4
4,0.22,0.932,0,-8.303,1,0.0894,0.477,0.574,0.05,0.528,144.013,audio_features,7CNzwOLYchByOujW2JSHNf,spotify:track:7CNzwOLYchByOujW2JSHNf,https://api.spotify.com/v1/tracks/7CNzwOLYchByOujW2JSHNf,https://api.spotify.com/v1/audio-analysis/7CNzwOLYchByOujW2JSHNf,278600,4
5,0.265,0.869,7,-8.96,1,0.0494,0.432,0.529,0.138,0.572,131.107,audio_features,5RvyAx4ySUlElGFIrZfn31,spotify:track:5RvyAx4ySUlElGFIrZfn31,https://api.spotify.com/v1/tracks/5RvyAx4ySUlElGFIrZfn31,https://api.spotify.com/v1/audio-analysis/5RvyAx4ySUlElGFIrZfn31,1047133,4
6,0.298,0.923,10,-7.677,1,0.0836,0.34,4.51e-05,0.541,0.594,137.949,audio_features,3SFayZBTps4PWfSIc8Pil5,spotify:track:3SFayZBTps4PWfSIc8Pil5,https://api.spotify.com/v1/tracks/3SFayZBTps4PWfSIc8Pil5,https://api.spotify.com/v1/audio-analysis/3SFayZBTps4PWfSIc8Pil5,283920,4
7,0.324,0.901,8,-8.059,1,0.145,0.726,0.0,0.234,0.255,147.211,audio_features,5UdAhevXOQBeIgDzHecPFw,spotify:track:5UdAhevXOQBeIgDzHecPFw,https://api.spotify.com/v1/tracks/5UdAhevXOQBeIgDzHecPFw,https://api.spotify.com/v1/audio-analysis/5UdAhevXOQBeIgDzHecPFw,315293,4
8,0.31,0.704,1,-9.092,1,0.0726,0.648,0.000132,0.737,0.423,153.944,audio_features,2wStM8v59DLrpzthNhUqPs,spotify:track:2wStM8v59DLrpzthNhUqPs,https://api.spotify.com/v1/tracks/2wStM8v59DLrpzthNhUqPs,https://api.spotify.com/v1/audio-analysis/2wStM8v59DLrpzthNhUqPs,386507,4
9,0.566,0.825,3,-9.21,1,0.102,0.515,1.27e-05,0.522,0.558,117.649,audio_features,6APdLo9mM1PecQW9LgnQ09,spotify:track:6APdLo9mM1PecQW9LgnQ09,https://api.spotify.com/v1/tracks/6APdLo9mM1PecQW9LgnQ09,https://api.spotify.com/v1/audio-analysis/6APdLo9mM1PecQW9LgnQ09,377080,4
