,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,audio_features,1M3XB6EUPUZy58Aqt6zbKr,spotify:track:1M3XB6EUPUZy58Aqt6zbKr,https://api.spotify.com/v1/tracks/1M3XB6EUPUZy58Aqt6zbKr,https://api.spotify.com/v1/audio-analysis/1M3XB6EUPUZy58Aqt6zbKr,172627,4
1,0.733,0.862,7,-5.736,1,0.197,0.374,0.00247,0.131,0.536,111.076,audio_features,7E01yTzdhlzS4H4rH2k7HH,spotify:track:7E01yTzdhlzS4H4rH2k7HH,https://api.spotify.com/v1/tracks/7E01yTzdhlzS4H4rH2k7HH,https://api.spotify.com/v1/audio-analysis/7E01yTzdhlzS4H4rH2k7HH,223560,4
2,0.619,0.707,1,-5.791,1,0.0499,0.0366,7.54e-05,0.13,0.558,168.995,audio_features,1pdTHjkIgxdWodGpi9YJ5d,spotify:track:1pdTHjkIgxdWodGpi9YJ5d,https://api.spotify.com/v1/tracks/1pdTHjkIgxdWodGpi9YJ5d,https://api.spotify.com/v1/audio-analysis/1pdTHjkIgxdWodGpi9YJ5d,212947,4
3,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,audio_features,0FYc9DIr89rbzt2WJMvyou,spotify:track:0FYc9DIr89rbzt2WJMvyou,https://api.spotify.com/v1/tracks/0FYc9DIr89rbzt2WJMvyou,https://api.spotify.com/v1/audio-analysis/0FYc9DIr89rbzt2WJMvyou,138293,4
4,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,audio_features,6G6ykEzZ1r7V1qrmNdBOVV,spotify:track:6G6ykEzZ1r7V1qrmNdBOVV,https://api.spotify.com/v1/tracks/6G6ykEzZ1r7V1qrmNdBOVV,https://api.spotify.com/v1/audio-analysis/6G6ykEzZ1r7V1qrmNdBOVV,210560,4
5,0.683,0.615,5,-5.737,1,0.0966,0.222,8.25e-06,0.154,0.45,77.014,audio_features,2HzPCR7K0RR8nutu3l3QtN,spotify:track:2HzPCR7K0RR8nutu3l3QtN,https://api.spotify.com/v1/tracks/2HzPCR7K0RR8nutu3l3QtN,https://api.spotify.com/v1/audio-analysis/2HzPCR7K0RR8nutu3l3QtN,188893,4
6,0.734,0.45,6,-7.075,1,0.0824,0.597,7.33e-06,0.0964,0.529,135.067,audio_features,0bOgWId7cFqBEKnlZct2q6,spotify:track:0bOgWId7cFqBEKnlZct2q6,https://api.spotify.com/v1/tracks/0bOgWId7cFqBEKnlZct2q6,https://api.spotify.com/v1/audio-analysis/0bOgWId7cFqBEKnlZct2q6,216853,4
7,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,audio_features,7Me3GKpQyEsHwS9xnOrUgM,spotify:track:7Me3GKpQyEsHwS9xnOrUgM,https://api.spotify.com/v1/tracks/7Me3GKpQyEsHwS9xnOrUgM,https://api.spotify.com/v1/audio-analysis/7Me3GKpQyEsHwS9xnOrUgM,186173,4
8,0.678,0.531,10,-5.029,1,0.0374,0.126,3.44e-05,0.377,0.176,99.008,audio_features,0GU7GSh1Ri0CKOe7fseiR1,spotify:track:0GU7GSh1Ri0CKOe7fseiR1,https://api.spotify.com/v1/tracks/0GU7GSh1Ri0CKOe7fseiR1,https://api.spotify.com/v1/audio-analysis/0GU7GSh1Ri0CKOe7fseiR1,177373,4
9,0.842,0.522,7,-7.844,1,0.0985,0.293,6.91e-05,0.107,0.285,132.986,audio_features,5MkBYMZGDWAKLHAJesZ6MJ,spotify:track:5MkBYMZGDWAKLHAJesZ6MJ,https://api.spotify.com/v1/tracks/5MkBYMZGDWAKLHAJesZ6MJ,https://api.spotify.com/v1/audio-analysis/5MkBYMZGDWAKLHAJesZ6MJ,159160,4
10,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097,audio_features,2VT56hhAcF0D3lGx9PUthf,spotify:track:2VT56hhAcF0D3lGx9PUthf,https://api.spotify.com/v1/tracks/2VT56hhAcF0D3lGx9PUthf,https://api.spotify.com/v1/audio-analysis/2VT56hhAcF0D3lGx9PUthf,174253,4
11,0.82,0.656,8,-5.537,0,0.0399,0.209,0.0339,0.124,0.698,143.059,audio_features,0frkJRc31JunrJ6JmqRpqa,spotify:track:0frkJRc31JunrJ6JmqRpqa,https://api.spotify.com/v1/tracks/0frkJRc31JunrJ6JmqRpqa,https://api.spotify.com/v1/audio-analysis/0frkJRc31JunrJ6JmqRpqa,148253,4
12,0.691,0.656,8,-5.864,0,0.172,0.543,1.22e-05,0.095,0.746,169.973,audio_features,3jt8YFtxRJOg99gmJuQBiC,spotify:track:3jt8YFtxRJOg99gmJuQBiC,https://api.spotify.com/v1/tracks/3jt8YFtxRJOg99gmJuQBiC,https://api.spotify.com/v1/audio-analysis/3jt8YFtxRJOg99gmJuQBiC,228867,4
13,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,audio_features,5cOyxjetBT7kRnqL68madd,spotify:track:5cOyxjetBT7kRnqL68madd,https://api.spotify.com/v1/tracks/5cOyxjetBT7kRnqL68madd,https://api.spotify.com/v1/audio-analysis/5cOyxjetBT7kRnqL68madd,208667,4
14,0.837,0.567,8,-6.709,1,0.0649,0.0158,0.00139,0.118,0.502,129.001,audio_features,4rmwWGh87KY0ouByBEh1zC,spotify:track:4rmwWGh87KY0ouByBEh1zC,https://api.spotify.com/v1/tracks/4rmwWGh87KY0ouByBEh1zC,https://api.spotify.com/v1/audio-analysis/4rmwWGh87KY0ouByBEh1zC,246040,4
15,0.829,0.761,10,-4.882,0,0.117,0.186,7.78e-06,0.0705,0.67,74.979,audio_features,1uQ1TZ9YIWCtBTgq09uoix,spotify:track:1uQ1TZ9YIWCtBTgq09uoix,https://api.spotify.com/v1/tracks/1uQ1TZ9YIWCtBTgq09uoix,https://api.spotify.com/v1/audio-analysis/1uQ1TZ9YIWCtBTgq09uoix,151507,4
16,0.779,0.558,7,-5.523,0,0.259,0.0417,0.0,0.0727,0.866,91.933,audio_features,2rokN1FX25tFt7vPTFi5lB,spotify:track:2rokN1FX25tFt7vPTFi5lB,https://api.spotify.com/v1/tracks/2rokN1FX25tFt7vPTFi5lB,https://api.spotify.com/v1/audio-analysis/2rokN1FX25tFt7vPTFi5lB,168573,4
17,0.722,0.592,9,-6.718,0,0.383,0.224,0.000697,0.0714,0.828,199.719,audio_features,4jw87bP3TuCGm15g9kc64g,spotify:track:4jw87bP3TuCGm15g9kc64g,https://api.spotify.com/v1/tracks/4jw87bP3TuCGm15g9kc64g,https://api.spotify.com/v1/audio-analysis/4jw87bP3TuCGm15g9kc64g,176733,4
18,0.592,0.635,5,-5.351,1,0.0971,0.212,0.0,0.305,0.476,155.907,audio_features,5OQnuRwGJTDwk4PNq21Som,spotify:track:5OQnuRwGJTDwk4PNq21Som,https://api.spotify.com/v1/tracks/5OQnuRwGJTDwk4PNq21Som,https://api.spotify.com/v1/audio-analysis/5OQnuRwGJTDwk4PNq21Som,178960,4
