,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.65,0.176,1,-20.893,1,0.892,0.925,0.0,0.838,0.511,91.072,audio_features,6ZmOfbPSylxWUv1M9lpBgS,spotify:track:6ZmOfbPSylxWUv1M9lpBgS,https://api.spotify.com/v1/tracks/6ZmOfbPSylxWUv1M9lpBgS,https://api.spotify.com/v1/audio-analysis/6ZmOfbPSylxWUv1M9lpBgS,106840,3
1,0.451,0.591,8,-10.655,0,0.147,0.119,0.833,0.0615,0.842,175.763,audio_features,3nk12u4uEu3u1PBkVZxEKC,spotify:track:3nk12u4uEu3u1PBkVZxEKC,https://api.spotify.com/v1/tracks/3nk12u4uEu3u1PBkVZxEKC,https://api.spotify.com/v1/audio-analysis/3nk12u4uEu3u1PBkVZxEKC,273027,4
2,0.337,0.947,5,-8.538,0,0.0937,0.00167,0.928,0.379,0.679,81.003,audio_features,4T63pVTfnB0yqYCxBeNes0,spotify:track:4T63pVTfnB0yqYCxBeNes0,https://api.spotify.com/v1/tracks/4T63pVTfnB0yqYCxBeNes0,https://api.spotify.com/v1/audio-analysis/4T63pVTfnB0yqYCxBeNes0,265800,4
3,0.319,0.858,10,-9.913,0,0.0839,0.00381,0.232,0.664,0.471,106.231,audio_features,7blY9jGplyzTiS2qltyfFe,spotify:track:7blY9jGplyzTiS2qltyfFe,https://api.spotify.com/v1/tracks/7blY9jGplyzTiS2qltyfFe,https://api.spotify.com/v1/audio-analysis/7blY9jGplyzTiS2qltyfFe,280267,4
4,0.376,0.532,1,-11.139,1,0.0507,0.0188,0.414,0.656,0.471,142.899,audio_features,1Ziqm7y7nxO8tggJYS6aaC,spotify:track:1Ziqm7y7nxO8tggJYS6aaC,https://api.spotify.com/v1/tracks/1Ziqm7y7nxO8tggJYS6aaC,https://api.spotify.com/v1/audio-analysis/1Ziqm7y7nxO8tggJYS6aaC,566320,4
5,0.341,0.814,1,-10.19,1,0.0827,0.000366,0.807,0.128,0.695,110.716,audio_features,4Bp3SVvfb1dbq9UWuABAPt,spotify:track:4Bp3SVvfb1dbq9UWuABAPt,https://api.spotify.com/v1/tracks/4Bp3SVvfb1dbq9UWuABAPt,https://api.spotify.com/v1/audio-analysis/4Bp3SVvfb1dbq9UWuABAPt,432760,4
6,0.302,0.919,1,-9.028,1,0.35,0.189,0.416,0.406,0.621,176.097,audio_features,1kGRBP2Hglvf10IZlNc8E2,spotify:track:1kGRBP2Hglvf10IZlNc8E2,https://api.spotify.com/v1/tracks/1kGRBP2Hglvf10IZlNc8E2,https://api.spotify.com/v1/audio-analysis/1kGRBP2Hglvf10IZlNc8E2,223027,4
7,0.349,0.698,1,-10.534,1,0.0577,0.0504,0.475,0.314,0.49,112.162,audio_features,1r3J3u5MFLtdZKKxKcgbWg,spotify:track:1r3J3u5MFLtdZKKxKcgbWg,https://api.spotify.com/v1/tracks/1r3J3u5MFLtdZKKxKcgbWg,https://api.spotify.com/v1/audio-analysis/1r3J3u5MFLtdZKKxKcgbWg,272160,4
8,0.35,0.722,5,-11.422,0,0.0665,0.22,0.903,0.84,0.642,102.997,audio_features,0yHajQw1Mj2B0ImLkJmnj1,spotify:track:0yHajQw1Mj2B0ImLkJmnj1,https://api.spotify.com/v1/tracks/0yHajQw1Mj2B0ImLkJmnj1,https://api.spotify.com/v1/audio-analysis/0yHajQw1Mj2B0ImLkJmnj1,256413,4
9,0.349,0.89,5,-11.035,0,0.106,0.147,0.816,0.877,0.673,146.212,audio_features,1xmK4nVpr4QvlTPcZt9qdo,spotify:track:1xmK4nVpr4QvlTPcZt9qdo,https://api.spotify.com/v1/tracks/1xmK4nVpr4QvlTPcZt9qdo,https://api.spotify.com/v1/audio-analysis/1xmK4nVpr4QvlTPcZt9qdo,161773,4
10,0.578,0.833,11,-10.943,1,0.0395,0.124,0.945,0.0847,0.891,110.865,audio_features,6Qn2ZIqAnyDKfwFcCft166,spotify:track:6Qn2ZIqAnyDKfwFcCft166,https://api.spotify.com/v1/tracks/6Qn2ZIqAnyDKfwFcCft166,https://api.spotify.com/v1/audio-analysis/6Qn2ZIqAnyDKfwFcCft166,260267,4
11,0.524,0.856,10,-11.307,0,0.0635,0.237,0.93,0.369,0.621,117.631,audio_features,4zlbPJfDarP3lck9ydminZ,spotify:track:4zlbPJfDarP3lck9ydminZ,https://api.spotify.com/v1/tracks/4zlbPJfDarP3lck9ydminZ,https://api.spotify.com/v1/audio-analysis/4zlbPJfDarP3lck9ydminZ,289987,4
12,0.373,0.539,8,-13.21,0,0.0465,0.229,0.726,0.206,0.648,146.593,audio_features,06waetHlOBFhWjsbi4KQOs,spotify:track:06waetHlOBFhWjsbi4KQOs,https://api.spotify.com/v1/tracks/06waetHlOBFhWjsbi4KQOs,https://api.spotify.com/v1/audio-analysis/06waetHlOBFhWjsbi4KQOs,349773,4
13,0.371,0.796,1,-10.473,1,0.0761,0.00774,0.456,0.612,0.804,135.546,audio_features,3c7cjaz0xGs1OJiLKq23ud,spotify:track:3c7cjaz0xGs1OJiLKq23ud,https://api.spotify.com/v1/tracks/3c7cjaz0xGs1OJiLKq23ud,https://api.spotify.com/v1/audio-analysis/3c7cjaz0xGs1OJiLKq23ud,305613,4
14,0.401,0.427,8,-14.346,1,0.0581,0.435,0.872,0.208,0.557,154.291,audio_features,43JOAJ8hP9di1D0UGvu8YV,spotify:track:43JOAJ8hP9di1D0UGvu8YV,https://api.spotify.com/v1/tracks/43JOAJ8hP9di1D0UGvu8YV,https://api.spotify.com/v1/audio-analysis/43JOAJ8hP9di1D0UGvu8YV,400707,3
15,0.372,0.82,5,-11.43,0,0.0557,0.332,0.955,0.917,0.537,115.319,audio_features,6WwBKaBjjdjMWcpRbmrGH7,spotify:track:6WwBKaBjjdjMWcpRbmrGH7,https://api.spotify.com/v1/tracks/6WwBKaBjjdjMWcpRbmrGH7,https://api.spotify.com/v1/audio-analysis/6WwBKaBjjdjMWcpRbmrGH7,261133,4
16,0.37,0.565,1,-13.012,1,0.0364,0.316,0.883,0.142,0.68,108.084,audio_features,1rwyljDofeDTH2VLfMcPzT,spotify:track:1rwyljDofeDTH2VLfMcPzT,https://api.spotify.com/v1/tracks/1rwyljDofeDTH2VLfMcPzT,https://api.spotify.com/v1/audio-analysis/1rwyljDofeDTH2VLfMcPzT,501920,4
17,0.425,0.55,1,-12.028,1,0.0368,0.542,0.906,0.447,0.645,113.546,audio_features,5BG6544kfnvS2ri2GUg1LI,spotify:track:5BG6544kfnvS2ri2GUg1LI,https://api.spotify.com/v1/tracks/5BG6544kfnvS2ri2GUg1LI,https://api.spotify.com/v1/audio-analysis/5BG6544kfnvS2ri2GUg1LI,183187,4
18,0.384,0.591,8,-12.303,1,0.0797,0.121,0.953,0.138,0.369,133.838,audio_features,438RTjTC9V0ENAwXBf6xEg,spotify:track:438RTjTC9V0ENAwXBf6xEg,https://api.spotify.com/v1/tracks/438RTjTC9V0ENAwXBf6xEg,https://api.spotify.com/v1/audio-analysis/438RTjTC9V0ENAwXBf6xEg,292680,4
19,0.305,0.86,1,-10.149,1,0.0696,0.106,0.924,0.323,0.669,150.157,audio_features,46cxtnq3C8UcNfZjaLRfvP,spotify:track:46cxtnq3C8UcNfZjaLRfvP,https://api.spotify.com/v1/tracks/46cxtnq3C8UcNfZjaLRfvP,https://api.spotify.com/v1/audio-analysis/46cxtnq3C8UcNfZjaLRfvP,344173,4
20,0.516,0.749,2,-10.667,1,0.0714,0.000671,0.692,0.0795,0.459,108.838,audio_features,5A6Y4qCQODZz3l60HZ19By,spotify:track:5A6Y4qCQODZz3l60HZ19By,https://api.spotify.com/v1/tracks/5A6Y4qCQODZz3l60HZ19By,https://api.spotify.com/v1/audio-analysis/5A6Y4qCQODZz3l60HZ19By,171400,4
21,0.359,0.619,9,-10.31,1,0.0399,0.013,0.247,0.0604,0.53,168.639,audio_features,1kJc8wX4ILWuNWb0MOkOiG,spotify:track:1kJc8wX4ILWuNWb0MOkOiG,https://api.spotify.com/v1/tracks/1kJc8wX4ILWuNWb0MOkOiG,https://api.spotify.com/v1/audio-analysis/1kJc8wX4ILWuNWb0MOkOiG,211533,4
22,0.255,0.709,7,-10.154,1,0.05,0.00432,0.899,0.271,0.451,110.609,audio_features,3QpTkDDmOnteNJiilwD2ps,spotify:track:3QpTkDDmOnteNJiilwD2ps,https://api.spotify.com/v1/tracks/3QpTkDDmOnteNJiilwD2ps,https://api.spotify.com/v1/audio-analysis/3QpTkDDmOnteNJiilwD2ps,192267,4
23,0.479,0.383,10,-13.96,1,0.0531,0.486,0.00283,0.13,0.343,79.444,audio_features,2bOAzgPRr9j2iCqfY522KG,spotify:track:2bOAzgPRr9j2iCqfY522KG,https://api.spotify.com/v1/tracks/2bOAzgPRr9j2iCqfY522KG,https://api.spotify.com/v1/audio-analysis/2bOAzgPRr9j2iCqfY522KG,202427,4
24,0.476,0.841,9,-9.255,1,0.0945,0.00215,0.0344,0.308,0.631,153.537,audio_features,5sNWSV4XgQFoLdM04XJX5r,spotify:track:5sNWSV4XgQFoLdM04XJX5r,https://api.spotify.com/v1/tracks/5sNWSV4XgQFoLdM04XJX5r,https://api.spotify.com/v1/audio-analysis/5sNWSV4XgQFoLdM04XJX5r,162240,4
25,0.493,0.668,4,-10.267,1,0.038,0.0732,0.0762,0.253,0.65,98.178,audio_features,09OEe5706B1wefXjKiMb8F,spotify:track:09OEe5706B1wefXjKiMb8F,https://api.spotify.com/v1/tracks/09OEe5706B1wefXjKiMb8F,https://api.spotify.com/v1/audio-analysis/09OEe5706B1wefXjKiMb8F,201133,4
26,0.421,0.658,1,-11.14,1,0.093,0.126,0.000539,0.104,0.53,82.291,audio_features,3X08s0DIGcEIUqsYOxL2sy,spotify:track:3X08s0DIGcEIUqsYOxL2sy,https://api.spotify.com/v1/tracks/3X08s0DIGcEIUqsYOxL2sy,https://api.spotify.com/v1/audio-analysis/3X08s0DIGcEIUqsYOxL2sy,253027,4
27,0.375,0.71,8,-9.538,1,0.0418,0.0577,0.188,0.389,0.812,97.754,audio_features,4W7bJaS1aStDWwCeeqoit6,spotify:track:4W7bJaS1aStDWwCeeqoit6,https://api.spotify.com/v1/tracks/4W7bJaS1aStDWwCeeqoit6,https://api.spotify.com/v1/audio-analysis/4W7bJaS1aStDWwCeeqoit6,184600,4
